"Address"	Latitude	Longitude	Easting	Northing
"NW4 3JS"	51.58286	-0.227755	522889	188599
"NW4 4XA"	51.597948	-0.23303	522483	190268
"NW11 9RG (2)"	51.57445	-0.20567	524442	187701
"NW11 9RG"	51.57445	-0.20567	524442	187701
"NW11 9UE"	51.5764	-0.210905	524074	187909
"NW7 3BL"	51.624531	-0.252975	521031	193191
"EN4 8RW (5)"	51.649909	-0.174248	526410	196146
"NW2 2PG (10)"	51.559826	-0.197893	525021	186088
"NW2 2PU"	51.560864	-0.204406	524567	186192
"NW11 9DY"	51.574839	-0.212139	523993	187733
"NW11 8JY (4)"	51.572443	-0.197365	525023	187492
"NW4 4PE"	51.582161	-0.236875	522259	188506
"EN5 5AP"	51.649956	-0.185434	525636	196132
"NW4 2AE (2)"	51.586768	-0.216549	523655	189052
"NW4 3NB (3)"	51.578938	-0.224462	523128	188168
"NW2 2PG"	51.559826	-0.197893	525021	186088
"NW2 2PH"	51.559826	-0.197893	525021	186088
"NW2 2PG"	51.559826	-0.197893	525021	186088
"NW4 3JD (2)"	51.574896	-0.233303	522526	187704
"N20 0UL"	51.628365	-0.164002	527179	193768
"NW2 2RG"	51.557761	-0.211073	524113	185836
"NW11 9EA"	51.575807	-0.213645	523886	187838
"NW4 2DG"	51.585206	-0.221489	523317	188870
"NW4 3TR (3)"	51.5765	-0.228739	522838	187890
"NW11 8EL (5)"	51.57225	-0.198296	524959	187469
"N3 2SG (4)"	51.598623	-0.188044	525597	190419
"NW2 2PG"	51.559826	-0.197893	525021	186088
"NW4 3SB"	51.578261	-0.231614	522634	188081
"NW4 4HA"	51.586165	-0.234599	522406	188955
"NW2 1BP (2)"	51.559618	-0.211924	524049	186041
"HA8 0LT"	51.601506	-0.265367	520234	190610
"NW2 2RE"	51.557921	-0.210332	524164	185855
"NW4 1BU (2)"	51.590572	-0.220367	523380	189469
"NW11 9NN (2)"	51.578234	-0.207369	524314	188119
"HA8 0LY"	51.604416	-0.260303	520577	190942
"NW11 9LE"	51.585654	-0.210353	524087	188939
"NW11 9RT"	51.572653	-0.207574	524315	187498
"NW4 4BB"	51.588485	-0.226038	522993	189227
"HA8 0EP (2)"	51.60162	-0.260352	520581	190631
"NW9 5AX"	51.597002	-0.261024	520547	190116
"NW11 0NG"	51.578747	-0.200714	524774	188187
"N3 3NE (3)"	51.594528	-0.196523	525021	189949
"NW11 9AB (2)"	51.576543	-0.202629	524647	187939
"EN4 8UL"	51.642406	-0.167334	526909	195324
"N12 8PY (2)"	51.61837	-0.178735	526187	192631
"NW11 8EN (3)"	51.572681	-0.199405	524881	187515
"NW11 9DS"	51.574025	-0.208866	524222	187648
"NW4 4JU (4)"	51.591391	-0.226127	522979	189550
"N2 8JJ"	51.593576	-0.173952	526587	189882
"NW2 2PH"	51.559826	-0.197893	525021	186088
"NW4 2SH (5)"	51.587908	-0.214628	523785	189182
"N3 2DB (3)"	51.602929	-0.188721	525538	190897
"NW11 7PH (2)"	51.5714	-0.194448	525228	187381
"NW4 3RX (2)"	51.579648	-0.231791	522618	188235
"N2 8AX"	51.589631	-0.166661	527103	189456
"NW4 4JU"	51.591391	-0.226127	522979	189550
"NW2 1EL"	51.565551	-0.212961	523961	186699
"NW4 4RL (4)"	51.592556	-0.225501	523019	189681
