Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01000115,Barnet 009A,-8,Does not apply,0
E01000115,Barnet 009A,1,Household is not deprived in any dimension,273
E01000115,Barnet 009A,2,Household is deprived in one dimension,159
E01000115,Barnet 009A,3,Household is deprived in two dimensions,40
E01000115,Barnet 009A,4,Household is deprived in three dimensions,6
E01000115,Barnet 009A,5,Household is deprived in four dimensions,1
E01000116,Barnet 009B,-8,Does not apply,0
E01000116,Barnet 009B,1,Household is not deprived in any dimension,326
E01000116,Barnet 009B,2,Household is deprived in one dimension,213
E01000116,Barnet 009B,3,Household is deprived in two dimensions,67
E01000116,Barnet 009B,4,Household is deprived in three dimensions,12
E01000116,Barnet 009B,5,Household is deprived in four dimensions,0
E01000117,Barnet 010A,-8,Does not apply,0
E01000117,Barnet 010A,1,Household is not deprived in any dimension,364
E01000117,Barnet 010A,2,Household is deprived in one dimension,223
E01000117,Barnet 010A,3,Household is deprived in two dimensions,87
E01000117,Barnet 010A,4,Household is deprived in three dimensions,17
E01000117,Barnet 010A,5,Household is deprived in four dimensions,1
E01000118,Barnet 010B,-8,Does not apply,0
E01000118,Barnet 010B,1,Household is not deprived in any dimension,413
E01000118,Barnet 010B,2,Household is deprived in one dimension,247
E01000118,Barnet 010B,3,Household is deprived in two dimensions,79
E01000118,Barnet 010B,4,Household is deprived in three dimensions,11
E01000118,Barnet 010B,5,Household is deprived in four dimensions,1
E01000119,Barnet 009C,-8,Does not apply,0
E01000119,Barnet 009C,1,Household is not deprived in any dimension,351
E01000119,Barnet 009C,2,Household is deprived in one dimension,201
E01000119,Barnet 009C,3,Household is deprived in two dimensions,67
E01000119,Barnet 009C,4,Household is deprived in three dimensions,10
E01000119,Barnet 009C,5,Household is deprived in four dimensions,0
E01000120,Barnet 009D,-8,Does not apply,0
E01000120,Barnet 009D,1,Household is not deprived in any dimension,258
E01000120,Barnet 009D,2,Household is deprived in one dimension,181
E01000120,Barnet 009D,3,Household is deprived in two dimensions,49
E01000120,Barnet 009D,4,Household is deprived in three dimensions,6
E01000120,Barnet 009D,5,Household is deprived in four dimensions,0
E01000121,Barnet 010C,-8,Does not apply,0
E01000121,Barnet 010C,1,Household is not deprived in any dimension,181
E01000121,Barnet 010C,2,Household is deprived in one dimension,164
E01000121,Barnet 010C,3,Household is deprived in two dimensions,134
E01000121,Barnet 010C,4,Household is deprived in three dimensions,44
E01000121,Barnet 010C,5,Household is deprived in four dimensions,2
E01000122,Barnet 009E,-8,Does not apply,0
E01000122,Barnet 009E,1,Household is not deprived in any dimension,291
E01000122,Barnet 009E,2,Household is deprived in one dimension,172
E01000122,Barnet 009E,3,Household is deprived in two dimensions,49
E01000122,Barnet 009E,4,Household is deprived in three dimensions,7
E01000122,Barnet 009E,5,Household is deprived in four dimensions,0
E01000123,Barnet 010D,-8,Does not apply,0
E01000123,Barnet 010D,1,Household is not deprived in any dimension,434
E01000123,Barnet 010D,2,Household is deprived in one dimension,201
E01000123,Barnet 010D,3,Household is deprived in two dimensions,74
E01000123,Barnet 010D,4,Household is deprived in three dimensions,17
E01000123,Barnet 010D,5,Household is deprived in four dimensions,0
E01000124,Barnet 010E,-8,Does not apply,0
E01000124,Barnet 010E,1,Household is not deprived in any dimension,349
E01000124,Barnet 010E,2,Household is deprived in one dimension,288
E01000124,Barnet 010E,3,Household is deprived in two dimensions,126
E01000124,Barnet 010E,4,Household is deprived in three dimensions,28
E01000124,Barnet 010E,5,Household is deprived in four dimensions,4
E01000126,Barnet 026A,-8,Does not apply,0
E01000126,Barnet 026A,1,Household is not deprived in any dimension,271
E01000126,Barnet 026A,2,Household is deprived in one dimension,269
E01000126,Barnet 026A,3,Household is deprived in two dimensions,154
E01000126,Barnet 026A,4,Household is deprived in three dimensions,65
E01000126,Barnet 026A,5,Household is deprived in four dimensions,7
E01000127,Barnet 024B,-8,Does not apply,0
E01000127,Barnet 024B,1,Household is not deprived in any dimension,171
E01000127,Barnet 024B,2,Household is deprived in one dimension,198
E01000127,Barnet 024B,3,Household is deprived in two dimensions,100
E01000127,Barnet 024B,4,Household is deprived in three dimensions,44
E01000127,Barnet 024B,5,Household is deprived in four dimensions,3
E01000128,Barnet 024C,-8,Does not apply,0
E01000128,Barnet 024C,1,Household is not deprived in any dimension,241
E01000128,Barnet 024C,2,Household is deprived in one dimension,260
E01000128,Barnet 024C,3,Household is deprived in two dimensions,104
E01000128,Barnet 024C,4,Household is deprived in three dimensions,29
E01000128,Barnet 024C,5,Household is deprived in four dimensions,1
E01000129,Barnet 024D,-8,Does not apply,0
E01000129,Barnet 024D,1,Household is not deprived in any dimension,136
E01000129,Barnet 024D,2,Household is deprived in one dimension,269
E01000129,Barnet 024D,3,Household is deprived in two dimensions,125
E01000129,Barnet 024D,4,Household is deprived in three dimensions,42
E01000129,Barnet 024D,5,Household is deprived in four dimensions,2
E01000130,Barnet 021A,-8,Does not apply,0
E01000130,Barnet 021A,1,Household is not deprived in any dimension,212
E01000130,Barnet 021A,2,Household is deprived in one dimension,251
E01000130,Barnet 021A,3,Household is deprived in two dimensions,135
E01000130,Barnet 021A,4,Household is deprived in three dimensions,52
E01000130,Barnet 021A,5,Household is deprived in four dimensions,8
E01000131,Barnet 024E,-8,Does not apply,0
E01000131,Barnet 024E,1,Household is not deprived in any dimension,299
E01000131,Barnet 024E,2,Household is deprived in one dimension,267
E01000131,Barnet 024E,3,Household is deprived in two dimensions,121
E01000131,Barnet 024E,4,Household is deprived in three dimensions,26
E01000131,Barnet 024E,5,Household is deprived in four dimensions,0
E01000132,Barnet 021B,-8,Does not apply,0
E01000132,Barnet 021B,1,Household is not deprived in any dimension,165
E01000132,Barnet 021B,2,Household is deprived in one dimension,191
