Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E01000115,Barnet 009A,-8,Does not apply,223
E01000115,Barnet 009A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,132
E01000115,Barnet 009A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,346
E01000115,Barnet 009A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000115,Barnet 009A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,36
E01000115,Barnet 009A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,66
E01000115,Barnet 009A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,71
E01000115,Barnet 009A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,34
E01000115,Barnet 009A,8,Economically active and a full-time student: In employment: Employee: Part-time,7
E01000115,Barnet 009A,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000115,Barnet 009A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000115,Barnet 009A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000115,Barnet 009A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000115,Barnet 009A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000115,Barnet 009A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000115,Barnet 009A,15,Economically inactive: Retired,276
E01000115,Barnet 009A,16,Economically inactive: Student,76
E01000115,Barnet 009A,17,Economically inactive: Looking after home or family,59
E01000115,Barnet 009A,18,Economically inactive: Long-term sick or disabled,22
E01000115,Barnet 009A,19,Economically inactive: Other,29
E01000116,Barnet 009B,-8,Does not apply,384
E01000116,Barnet 009B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,167
E01000116,Barnet 009B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,448
E01000116,Barnet 009B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000116,Barnet 009B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,31
E01000116,Barnet 009B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,65
E01000116,Barnet 009B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,82
E01000116,Barnet 009B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,40
E01000116,Barnet 009B,8,Economically active and a full-time student: In employment: Employee: Part-time,25
E01000116,Barnet 009B,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000116,Barnet 009B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000116,Barnet 009B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000116,Barnet 009B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000116,Barnet 009B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000116,Barnet 009B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1
E01000116,Barnet 009B,15,Economically inactive: Retired,283
E01000116,Barnet 009B,16,Economically inactive: Student,91
E01000116,Barnet 009B,17,Economically inactive: Looking after home or family,52
