Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01000115,Barnet 009A,-8,Does not apply,0
E01000115,Barnet 009A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",22
E01000115,Barnet 009A,2,"Asian, Asian British or Asian Welsh: Chinese",42
E01000115,Barnet 009A,3,"Asian, Asian British or Asian Welsh: Indian",183
E01000115,Barnet 009A,4,"Asian, Asian British or Asian Welsh: Pakistani",26
E01000115,Barnet 009A,5,"Asian, Asian British or Asian Welsh: Other Asian",57
E01000115,Barnet 009A,6,"Black, Black British, Black Welsh, Caribbean or African: African",18
E01000115,Barnet 009A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",13
E01000115,Barnet 009A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
E01000115,Barnet 009A,9,Mixed or Multiple ethnic groups: White and Asian,18
E01000115,Barnet 009A,10,Mixed or Multiple ethnic groups: White and Black African,7
E01000115,Barnet 009A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1
E01000115,Barnet 009A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,21
E01000115,Barnet 009A,13,"White: English, Welsh, Scottish, Northern Irish or British",569
E01000115,Barnet 009A,14,White: Irish,37
E01000115,Barnet 009A,15,White: Gypsy or Irish Traveller,1
E01000115,Barnet 009A,16,White: Roma,1
E01000115,Barnet 009A,17,White: Other White,233
E01000115,Barnet 009A,18,Other ethnic group: Arab,7
E01000115,Barnet 009A,19,Other ethnic group: Any other ethnic group,133
E01000116,Barnet 009B,-8,Does not apply,0
E01000116,Barnet 009B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",20
E01000116,Barnet 009B,2,"Asian, Asian British or Asian Welsh: Chinese",17
E01000116,Barnet 009B,3,"Asian, Asian British or Asian Welsh: Indian",129
E01000116,Barnet 009B,4,"Asian, Asian British or Asian Welsh: Pakistani",23
E01000116,Barnet 009B,5,"Asian, Asian British or Asian Welsh: Other Asian",65
E01000116,Barnet 009B,6,"Black, Black British, Black Welsh, Caribbean or African: African",47
E01000116,Barnet 009B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",30
E01000116,Barnet 009B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7
E01000116,Barnet 009B,9,Mixed or Multiple ethnic groups: White and Asian,42
E01000116,Barnet 009B,10,Mixed or Multiple ethnic groups: White and Black African,8
E01000116,Barnet 009B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,23
E01000116,Barnet 009B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,48
E01000116,Barnet 009B,13,"White: English, Welsh, Scottish, Northern Irish or British",707
E01000116,Barnet 009B,14,White: Irish,63
E01000116,Barnet 009B,15,White: Gypsy or Irish Traveller,1
E01000116,Barnet 009B,16,White: Roma,2
E01000116,Barnet 009B,17,White: Other White,326
E01000116,Barnet 009B,18,Other ethnic group: Arab,12
E01000116,Barnet 009B,19,Other ethnic group: Any other ethnic group,175
E01000117,Barnet 010A,-8,Does not apply,0
E01000117,Barnet 010A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3
E01000117,Barnet 010A,2,"Asian, Asian British or Asian Welsh: Chinese",18
E01000117,Barnet 010A,3,"Asian, Asian British or Asian Welsh: Indian",95
E01000117,Barnet 010A,4,"Asian, Asian British or Asian Welsh: Pakistani",15
E01000117,Barnet 010A,5,"Asian, Asian British or Asian Welsh: Other Asian",60
E01000117,Barnet 010A,6,"Black, Black British, Black Welsh, Caribbean or African: African",30
E01000117,Barnet 010A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",21
E01000117,Barnet 010A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6
E01000117,Barnet 010A,9,Mixed or Multiple ethnic groups: White and Asian,25
E01000117,Barnet 010A,10,Mixed or Multiple ethnic groups: White and Black African,3
E01000117,Barnet 010A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,14
E01000117,Barnet 010A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,35
E01000117,Barnet 010A,13,"White: English, Welsh, Scottish, Northern Irish or British",927
E01000117,Barnet 010A,14,White: Irish,51
E01000117,Barnet 010A,15,White: Gypsy or Irish Traveller,0
E01000117,Barnet 010A,16,White: Roma,0
E01000117,Barnet 010A,17,White: Other White,282
E01000117,Barnet 010A,18,Other ethnic group: Arab,13
E01000117,Barnet 010A,19,Other ethnic group: Any other ethnic group,139
E01000118,Barnet 010B,-8,Does not apply,0
E01000118,Barnet 010B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",19
E01000118,Barnet 010B,2,"Asian, Asian British or Asian Welsh: Chinese",34
E01000118,Barnet 010B,3,"Asian, Asian British or Asian Welsh: Indian",151
E01000118,Barnet 010B,4,"Asian, Asian British or Asian Welsh: Pakistani",35
E01000118,Barnet 010B,5,"Asian, Asian British or Asian Welsh: Other Asian",139
E01000118,Barnet 010B,6,"Black, Black British, Black Welsh, Caribbean or African: African",66
E01000118,Barnet 010B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",26
E01000118,Barnet 010B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10
E01000118,Barnet 010B,9,Mixed or Multiple ethnic groups: White and Asian,30
E01000118,Barnet 010B,10,Mixed or Multiple ethnic groups: White and Black African,17
E01000118,Barnet 010B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,38
E01000118,Barnet 010B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,39
E01000118,Barnet 010B,13,"White: English, Welsh, Scottish, Northern Irish or British",885
E01000118,Barnet 010B,14,White: Irish,72
E01000118,Barnet 010B,15,White: Gypsy or Irish Traveller,0
E01000118,Barnet 010B,16,White: Roma,3
E01000118,Barnet 010B,17,White: Other White,324
E01000118,Barnet 010B,18,Other ethnic group: Arab,13
E01000118,Barnet 010B,19,Other ethnic group: Any other ethnic group,145
E01000119,Barnet 009C,-8,Does not apply,0
E01000119,Barnet 009C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",50
E01000119,Barnet 009C,2,"Asian, Asian British or Asian Welsh: Chinese",73
E01000119,Barnet 009C,3,"Asian, Asian British or Asian Welsh: Indian",213
E01000119,Barnet 009C,4,"Asian, Asian British or Asian Welsh: Pakistani",37
E01000119,Barnet 009C,5,"Asian, Asian British or Asian Welsh: Other Asian",83
E01000119,Barnet 009C,6,"Black, Black British, Black Welsh, Caribbean or African: African",22
E01000119,Barnet 009C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",16
E01000119,Barnet 009C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8
E01000119,Barnet 009C,9,Mixed or Multiple ethnic groups: White and Asian,44
E01000119,Barnet 009C,10,Mixed or Multiple ethnic groups: White and Black African,8
E01000119,Barnet 009C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5
E01000119,Barnet 009C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,40
E01000119,Barnet 009C,13,"White: English, Welsh, Scottish, Northern Irish or British",594
E01000119,Barnet 009C,14,White: Irish,13
E01000119,Barnet 009C,15,White: Gypsy or Irish Traveller,0
E01000119,Barnet 009C,16,White: Roma,5
E01000119,Barnet 009C,17,White: Other White,397
E01000119,Barnet 009C,18,Other ethnic group: Arab,21
E01000119,Barnet 009C,19,Other ethnic group: Any other ethnic group,163
E01000120,Barnet 009D,-8,Does not apply,0
E01000120,Barnet 009D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",14
E01000120,Barnet 009D,2,"Asian, Asian British or Asian Welsh: Chinese",46
E01000120,Barnet 009D,3,"Asian, Asian British or Asian Welsh: Indian",158
E01000120,Barnet 009D,4,"Asian, Asian British or Asian Welsh: Pakistani",45
E01000120,Barnet 009D,5,"Asian, Asian British or Asian Welsh: Other Asian",52
E01000120,Barnet 009D,6,"Black, Black British, Black Welsh, Caribbean or African: African",29
