Lower layer Super Output Areas Code,Lower layer Super Output Areas,Sex (2 categories) Code,Sex (2 categories),Observation
E01000115,Barnet 009A,1,Female,704
E01000115,Barnet 009A,2,Male,691
E01000116,Barnet 009B,1,Female,910
E01000116,Barnet 009B,2,Male,835
E01000117,Barnet 010A,1,Female,905
E01000117,Barnet 010A,2,Male,832
E01000118,Barnet 010B,1,Female,1063
E01000118,Barnet 010B,2,Male,986
E01000119,Barnet 009C,1,Female,915
E01000119,Barnet 009C,2,Male,878
E01000120,Barnet 009D,1,Female,747
E01000120,Barnet 009D,2,Male,748
E01000121,Barnet 010C,1,Female,770
E01000121,Barnet 010C,2,Male,707
E01000122,Barnet 009E,1,Female,758
E01000122,Barnet 009E,2,Male,753
E01000123,Barnet 010D,1,Female,897
E01000123,Barnet 010D,2,Male,865
E01000124,Barnet 010E,1,Female,963
E01000124,Barnet 010E,2,Male,904
E01000126,Barnet 026A,1,Female,1201
E01000126,Barnet 026A,2,Male,1073
E01000127,Barnet 024B,1,Female,827
E01000127,Barnet 024B,2,Male,730
E01000128,Barnet 024C,1,Female,1039
E01000128,Barnet 024C,2,Male,1010
E01000129,Barnet 024D,1,Female,815
E01000129,Barnet 024D,2,Male,789
E01000130,Barnet 021A,1,Female,991
E01000130,Barnet 021A,2,Male,948
E01000131,Barnet 024E,1,Female,1036
E01000131,Barnet 024E,2,Male,985
E01000132,Barnet 021B,1,Female,851
E01000132,Barnet 021B,2,Male,766
E01000133,Barnet 021C,1,Female,859
E01000133,Barnet 021C,2,Male,786
E01000134,Barnet 024F,1,Female,944
E01000134,Barnet 024F,2,Male,880
E01000135,Barnet 038A,1,Female,854
E01000135,Barnet 038A,2,Male,849
E01000136,Barnet 038B,1,Female,801
E01000136,Barnet 038B,2,Male,685
E01000137,Barnet 041A,1,Female,916
E01000137,Barnet 041A,2,Male,742
E01000138,Barnet 040A,1,Female,825
E01000138,Barnet 040A,2,Male,793
E01000139,Barnet 041B,1,Female,703
E01000139,Barnet 041B,2,Male,685
E01000140,Barnet 041C,1,Female,1026
E01000140,Barnet 041C,2,Male,931
E01000141,Barnet 039A,1,Female,958
E01000141,Barnet 039A,2,Male,906
E01000142,Barnet 040B,1,Female,1167
E01000142,Barnet 040B,2,Male,1069
E01000143,Barnet 041D,1,Female,817
E01000143,Barnet 041D,2,Male,854
E01000144,Barnet 038C,1,Female,832
E01000144,Barnet 038C,2,Male,828
E01000145,Barnet 037A,1,Female,826
E01000145,Barnet 037A,2,Male,789
E01000146,Barnet 038D,1,Female,948
E01000146,Barnet 038D,2,Male,924
E01000147,Barnet 043F,1,Female,937
E01000147,Barnet 043F,2,Male,976
E01000150,Barnet 036A,1,Female,1135
E01000150,Barnet 036A,2,Male,1120
E01000151,Barnet 026B,1,Female,883
E01000151,Barnet 026B,2,Male,838
E01000152,Barnet 026C,1,Female,1391
E01000152,Barnet 026C,2,Male,1302
E01000153,Barnet 026D,1,Female,1015
E01000153,Barnet 026D,2,Male,914
E01000154,Barnet 026E,1,Female,1008
E01000154,Barnet 026E,2,Male,907
E01000156,Barnet 022A,1,Female,1062
E01000156,Barnet 022A,2,Male,964
E01000157,Barnet 022B,1,Female,806
E01000157,Barnet 022B,2,Male,776
E01000158,Barnet 015A,1,Female,773
E01000158,Barnet 015A,2,Male,691
E01000159,Barnet 015B,1,Female,906
E01000159,Barnet 015B,2,Male,880
E01000160,Barnet 015C,1,Female,985
E01000160,Barnet 015C,2,Male,970
E01000161,Barnet 015D,1,Female,1072
E01000161,Barnet 015D,2,Male,962
E01000162,Barnet 015E,1,Female,866
E01000162,Barnet 015E,2,Male,783
E01000163,Barnet 022C,1,Female,920
E01000163,Barnet 022C,2,Male,773
E01000164,Barnet 022D,1,Female,871
E01000164,Barnet 022D,2,Male,842
E01000165,Barnet 022E,1,Female,960
E01000165,Barnet 022E,2,Male,852
E01000166,Barnet 003A,1,Female,828
E01000166,Barnet 003A,2,Male,792
E01000167,Barnet 002A,1,Female,713
E01000167,Barnet 002A,2,Male,676
E01000168,Barnet 003B,1,Female,772
E01000168,Barnet 003B,2,Male,744
E01000169,Barnet 003C,1,Female,851
E01000169,Barnet 003C,2,Male,780
E01000170,Barnet 006A,1,Female,1001
E01000170,Barnet 006A,2,Male,906
E01000171,Barnet 006B,1,Female,1173
E01000171,Barnet 006B,2,Male,1118
E01000172,Barnet 003D,1,Female,873
E01000172,Barnet 003D,2,Male,817
E01000173,Barnet 006C,1,Female,862
E01000173,Barnet 006C,2,Male,828
E01000174,Barnet 006D,1,Female,911
E01000174,Barnet 006D,2,Male,848
E01000175,Barnet 006E,1,Female,980
E01000175,Barnet 006E,2,Male,1051
E01000176,Barnet 027A,1,Female,841
E01000176,Barnet 027A,2,Male,881
E01000177,Barnet 029A,1,Female,865
E01000177,Barnet 029A,2,Male,798
E01000178,Barnet 027B,1,Female,887
E01000178,Barnet 027B,2,Male,786
E01000179,Barnet 029B,1,Female,966
E01000179,Barnet 029B,2,Male,823
E01000180,Barnet 029C,1,Female,871
E01000180,Barnet 029C,2,Male,745
E01000181,Barnet 029D,1,Female,882
E01000181,Barnet 029D,2,Male,806
E01000182,Barnet 029E,1,Female,848
E01000182,Barnet 029E,2,Male,771
E01000183,Barnet 033A,1,Female,823
E01000183,Barnet 033A,2,Male,699
E01000184,Barnet 027C,1,Female,953
E01000184,Barnet 027C,2,Male,920
E01000185,Barnet 029F,1,Female,768
E01000185,Barnet 029F,2,Male,706
E01000186,Barnet 014A,1,Female,916
E01000186,Barnet 014A,2,Male,855
E01000187,Barnet 014B,1,Female,900
E01000187,Barnet 014B,2,Male,837
E01000188,Barnet 014C,1,Female,812
E01000188,Barnet 014C,2,Male,766
E01000189,Barnet 014D,1,Female,1306
E01000189,Barnet 014D,2,Male,1163
E01000190,Barnet 014E,1,Female,891
E01000190,Barnet 014E,2,Male,840
E01000191,Barnet 014F,1,Female,762
E01000191,Barnet 014F,2,Male,787
E01000192,Barnet 018A,1,Female,1037
E01000192,Barnet 018A,2,Male,960
E01000193,Barnet 018B,1,Female,1009
E01000193,Barnet 018B,2,Male,939
E01000194,Barnet 018C,1,Female,1000
E01000194,Barnet 018C,2,Male,906
E01000195,Barnet 013A,1,Female,996
E01000195,Barnet 013A,2,Male,1023
E01000196,Barnet 028A,1,Female,1084
E01000196,Barnet 028A,2,Male,1040
E01000197,Barnet 023A,1,Female,967
E01000197,Barnet 023A,2,Male,884
E01000198,Barnet 025A,1,Female,1134
E01000198,Barnet 025A,2,Male,1059
E01000199,Barnet 025B,1,Female,841
E01000199,Barnet 025B,2,Male,739
E01000200,Barnet 028B,1,Female,1078
E01000200,Barnet 028B,2,Male,900
E01000201,Barnet 028C,1,Female,775
E01000201,Barnet 028C,2,Male,766
E01000202,Barnet 028D,1,Female,863
E01000202,Barnet 028D,2,Male,811
E01000203,Barnet 028E,1,Female,1006
E01000203,Barnet 028E,2,Male,838
E01000204,Barnet 025C,1,Female,904
E01000204,Barnet 025C,2,Male,799
E01000205,Barnet 035A,1,Female,822
E01000205,Barnet 035A,2,Male,684
E01000206,Barnet 033B,1,Female,785
E01000206,Barnet 033B,2,Male,716
E01000207,Barnet 033C,1,Female,853
E01000207,Barnet 033C,2,Male,726
E01000208,Barnet 033D,1,Female,876
E01000208,Barnet 033D,2,Male,754
E01000209,Barnet 035B,1,Female,825
E01000209,Barnet 035B,2,Male,658
E01000210,Barnet 033E,1,Female,815
E01000210,Barnet 033E,2,Male,733
E01000211,Barnet 035C,1,Female,1129
E01000211,Barnet 035C,2,Male,999
E01000212,Barnet 035D,1,Female,685
E01000212,Barnet 035D,2,Male,664
E01000213,Barnet 033F,1,Female,697
E01000213,Barnet 033F,2,Male,654
E01000214,Barnet 038E,1,Female,851
E01000214,Barnet 038E,2,Male,776
E01000215,Barnet 037B,1,Female,1092
E01000215,Barnet 037B,2,Male,1055
E01000216,Barnet 035E,1,Female,1051
E01000216,Barnet 035E,2,Male,927
E01000217,Barnet 035F,1,Female,927
E01000217,Barnet 035F,2,Male,858
E01000218,Barnet 037C,1,Female,946
E01000218,Barnet 037C,2,Male,898
E01000219,Barnet 037D,1,Female,1046
E01000219,Barnet 037D,2,Male,1150
E01000220,Barnet 037E,1,Female,915
E01000220,Barnet 037E,2,Male,973
E01000221,Barnet 039B,1,Female,745
E01000221,Barnet 039B,2,Male,667
E01000222,Barnet 040C,1,Female,1065
E01000222,Barnet 040C,2,Male,973
E01000223,Barnet 039C,1,Female,1034
E01000223,Barnet 039C,2,Male,998
E01000224,Barnet 040D,1,Female,871
E01000224,Barnet 040D,2,Male,821
E01000225,Barnet 037F,1,Female,925
E01000225,Barnet 037F,2,Male,945
E01000226,Barnet 018D,1,Female,914
E01000226,Barnet 018D,2,Male,821
E01000227,Barnet 018E,1,Female,940
E01000227,Barnet 018E,2,Male,929
E01000228,Barnet 007A,1,Female,752
E01000228,Barnet 007A,2,Male,684
E01000229,Barnet 013B,1,Female,852
