category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '51.581318', 'street': {'id': 1663391, 'name': 'On or near Fryent Fields'}, 'longitude': '-0.250201'}",,,,118521436,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.566286', 'street': {'id': 1677407, 'name': 'On or near Flowers Mews'}, 'longitude': '-0.134858'}",,,,118532989,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.594021', 'street': {'id': 1663272, 'name': 'On or near Colindale Avenue'}, 'longitude': '-0.252399'}",,,,118533135,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.595721', 'street': {'id': 1670480, 'name': 'On or near Briarfield Avenue'}, 'longitude': '-0.184908'}",,,,118533140,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.565196', 'street': {'id': 1664047, 'name': 'On or near Selsdon Road'}, 'longitude': '-0.241269'}",,,,118533141,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.586997', 'street': {'id': 1676363, 'name': 'On or near Leinster Road'}, 'longitude': '-0.141156'}",,,,118533162,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.561821', 'street': {'id': 1676926, 'name': 'On or near Tremlett Grove'}, 'longitude': '-0.137335'}",,,,118533178,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.573749', 'street': {'id': 1668417, 'name': 'On or near Broadwalk Lane'}, 'longitude': '-0.199839'}",,,,118533191,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.559246', 'street': {'id': 1668310, 'name': 'On or near Lyndale'}, 'longitude': '-0.199388'}",,,,118533194,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.573846', 'street': {'id': 1665768, 'name': 'On or near Tilling Road'}, 'longitude': '-0.221525'}",,,,118533196,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.628261', 'street': {'id': 1671814, 'name': 'On or near Quayle Crescent'}, 'longitude': '-0.175403'}",,,,118533212,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.593032', 'street': {'id': 1664300, 'name': 'On or near Peel Drive'}, 'longitude': '-0.240410'}",,,,118533757,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.619877', 'street': {'id': 1664645, 'name': 'On or near Buckland Close'}, 'longitude': '-0.234605'}",,,,118533764,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.616508', 'street': {'id': 1663777, 'name': 'On or near Clarence Court'}, 'longitude': '-0.245641'}",,,,118533767,,2024-04
anti-social-behaviour,Force,"{'latitude': '51.638231', 'street': {'id': 1672713, 'name': 'On or near Oakleigh Park North'}, 'longitude': '-0.167199'}",,,,118533225,,2024-04
